,品名,品牌,種類,價格,圖片
0,家樂福抽取式衛生紙-FSC-110PCx24包,家樂福,抽取,$269,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwdd74c1e9/images/large/0260014_-fsc-110x24.png?sw=300&bgcolor=FFFFFF
1,唯潔雅抽取式衛生紙100PCx24,唯潔雅,抽取,$208,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwede0c52c/images/large/0275779.jpeg?sw=300&bgcolor=FFFFFF
2,倍潔雅無漂白PEFC衛生紙-100PC,倍潔雅,,$142,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw8c24e787/images/large/0230125_efc.png?sw=300&bgcolor=FFFFFF
3,五月花清膚柔潤抽取衛生紙-100PC,五月花,抽取,$867,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwc5d8e5e5/images/large/0239094.jpeg?sw=300&bgcolor=FFFFFF
4,五月花清膚柔潤抽取衛生紙-100PC,五月花,抽取,$289,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwcaa53813/images/large/0239093.jpeg?sw=300&bgcolor=FFFFFF
5,情人平版衛生紙-300PC,情人,平版,$99,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw41e5582c/images/large/0213879.jpeg?sw=300&bgcolor=FFFFFF
6,【抽取】百吉抽取衛生紙,百吉,抽取,$169,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw028cbdce/images/large/0007270.jpeg?sw=300&bgcolor=FFFFFF
7,情人平版衛生紙-300PC,情人,平版,$594,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwf3e9fa05/images/large/0213880.jpeg?sw=300&bgcolor=FFFFFF
8,雪柔抽取衛生紙-100PC,雪柔,抽取,$119,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw2f3a52c6/images/large/0095482.jpeg?sw=300&bgcolor=FFFFFF
9,百吉抽取衛生紙-130PC,百吉,抽取,"$1,014",https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw268871fc/images/large/0060216.jpeg?sw=300&bgcolor=FFFFFF
10,【捲筒式】春風捲筒衛生紙-12 Roll捲,春風,捲筒,$792,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw06cb25f5/images/large/0118700.jpeg?sw=300&bgcolor=FFFFFF
11,舒潔濕式衛生紙-40PC,舒潔,濕式,$132,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwf7c75333/images/large/0113690.jpeg?sw=300&bgcolor=FFFFFF
