,賣場,品名,品牌,種類,價格,圖片
1,家樂福,家樂福抽取式衛生紙-FSC-110PCx24包,家樂福,抽取,$269,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwdd74c1e9/images/large/0260014_-fsc-110x24.png?sw=300&bgcolor=FFFFFF
2,家樂福,唯潔雅抽取式衛生紙100PCx24,唯潔雅,抽取,$208,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwede0c52c/images/large/0275779.jpeg?sw=300&bgcolor=FFFFFF
3,家樂福,倍潔雅無漂白PEFC衛生紙-100PC,倍潔雅,,$142,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw8c24e787/images/large/0230125_efc.png?sw=300&bgcolor=FFFFFF
4,家樂福,五月花清膚柔潤抽取衛生紙-100PC,五月花,抽取,$867,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwc5d8e5e5/images/large/0239094.jpeg?sw=300&bgcolor=FFFFFF
5,家樂福,五月花清膚柔潤抽取衛生紙-100PC,五月花,抽取,$289,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwcaa53813/images/large/0239093.jpeg?sw=300&bgcolor=FFFFFF
6,家樂福,情人平版衛生紙-300PC,情人,平版,$99,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw41e5582c/images/large/0213879.jpeg?sw=300&bgcolor=FFFFFF
7,家樂福,【抽取】百吉抽取衛生紙,百吉,抽取,$169,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw028cbdce/images/large/0007270.jpeg?sw=300&bgcolor=FFFFFF
8,家樂福,情人平版衛生紙-300PC,情人,平版,$594,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwf3e9fa05/images/large/0213880.jpeg?sw=300&bgcolor=FFFFFF
9,家樂福,雪柔抽取衛生紙-100PC,雪柔,抽取,$119,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw2f3a52c6/images/large/0095482.jpeg?sw=300&bgcolor=FFFFFF
10,家樂福,百吉抽取衛生紙-130PC,百吉,抽取,"$1,014",https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw268871fc/images/large/0060216.jpeg?sw=300&bgcolor=FFFFFF
11,家樂福,【捲筒式】春風捲筒衛生紙-12 Roll捲,春風,捲筒,$792,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw06cb25f5/images/large/0118700.jpeg?sw=300&bgcolor=FFFFFF
12,家樂福,舒潔濕式衛生紙-40PC,舒潔,濕式,$132,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwf7c75333/images/large/0113690.jpeg?sw=300&bgcolor=FFFFFF
13,家樂福,舒潔濕式衛生紙-40PCx36,舒潔,濕式,"$1,510",https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwe170a0f2/images/large/0113689.jpeg?sw=300&bgcolor=FFFFFF
14,家樂福,春風捲筒衛生紙,春風,捲筒,$115,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwdc0f9d1b/images/large/0007294.jpeg?sw=300&bgcolor=FFFFFF
15,家樂福,春風濕拭衛生紙40PCx3,春風,,$142,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw3d8a4590/images/large/0263872.jpeg?sw=300&bgcolor=FFFFFF
16,家樂福,春風平版衛生紙-300PC,春風,平版,$114,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dweb1a2c17/images/large/0099563.jpeg?sw=300&bgcolor=FFFFFF
17,家樂福,【抽取】可麗舒抽取衛生紙,可麗舒,抽取,$714,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw42c03bf0/images/large/0060215.jpeg?sw=300&bgcolor=FFFFFF
18,家樂福,【抽取】可麗舒抽取衛生紙,可麗舒,抽取,$119,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw7f97fdf6/images/large/0016982.jpeg?sw=300&bgcolor=FFFFFF
19,家樂福,舒潔平版式衛生紙-300PC,舒潔,平版,$129,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwcb0d5325/images/large/0115599.jpeg?sw=300&bgcolor=FFFFFF
20,家樂福,優活抽取式衛生紙 100抽,優活,抽取,$189,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw1661619a/images/large/0225484.jpeg?sw=300&bgcolor=FFFFFF
21,家樂福,柔情抽取式衛生紙-100PC,柔情,抽取,$115,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwcfb0fdfb/images/large/0239237.jpeg?sw=300&bgcolor=FFFFFF
22,家樂福,舒適抽取式衛生紙-110PC,舒適,抽取,$717,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw1e9006f9/images/large/0036814.jpeg?sw=300&bgcolor=FFFFFF
23,家樂福,舒潔平版式衛生紙300PCx6包x8袋,舒潔,平版,$992,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw03dd75c2/images/large/0115600.jpeg?sw=300&bgcolor=FFFFFF
24,家樂福,舒適抽取式衛生紙(110抽),舒適,抽取,$239,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw2bd116d7/images/large/0004085.jpeg?sw=300&bgcolor=FFFFFF
25,家樂福,家樂福抽取式衛生紙-PEFC,家樂福,抽取,$59,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw6ba5faf6/images/large/0273201_-efc.png?sw=300&bgcolor=FFFFFF
26,家樂福,金舒適抽取式衛生紙,舒適,抽取,$179,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwa2f2359a/images/large/0210560.jpeg?sw=300&bgcolor=FFFFFF
27,家樂福,倍潔雅抽取式衛生紙100PCx24,倍潔雅,抽取,$199,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw83c18ff3/images/large/1220110300124-1.png?sw=300&bgcolor=FFFFFF
28,家樂福,春風濕拭衛生紙10PCx3包,春風,,$648,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw5243389b/images/large/0263864_10.jpeg?sw=300&bgcolor=FFFFFF
29,家樂福,淨世代環保抽取衛生紙100PC,,抽取,$126,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwe9ef1b2c/images/large/0238398.jpeg?sw=300&bgcolor=FFFFFF
30,家樂福,淨世代環保抽取衛生紙100PC,,抽取,$756,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw3159c4fd/images/large/0238397.jpeg?sw=300&bgcolor=FFFFFF
31,家樂福,舒潔迪士尼抽取衛生紙100PC,舒潔,抽取,$168,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw0c058259/images/large/1220107900112.jpg?sw=300&bgcolor=FFFFFF
32,家樂福,舒適三層抽取式衛生紙,舒適,抽取,$339,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw64646990/images/large/0202599.jpeg?sw=300&bgcolor=FFFFFF
33,家樂福,春風Hello Kitty三層抽取式衛生紙90PCx20包x3袋,春風,抽取,"$1,062",https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwa78a7d26/images/large/0259666_hello-kitty.jpeg?sw=300&bgcolor=FFFFFF
34,家樂福,舒潔萬用輕巧包衛生紙,舒潔,,$198,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw4e467aab/images/large/0004113.jpeg?sw=300&bgcolor=FFFFFF
35,家樂福,春風Hello Kitty三層抽取式衛生紙90PC,春風,抽取,$299,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwa81d7423/images/large/0259665_hello-kitty.jpeg?sw=300&bgcolor=FFFFFF
36,家樂福,春風抽取式衛生紙優質經濟包-100PC,春風,抽取,$85,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwba11274c/images/large/0080629.jpeg?sw=300&bgcolor=FFFFFF
37,家樂福,得意優質抽取式衛生紙100PCx24,得意,抽取,$216,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw63503b1d/images/large/1220103100124.jpg?sw=300&bgcolor=FFFFFF
38,家樂福,柔情抽取式衛生紙-100PC,柔情,抽取,$225,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw753623c7/images/large/0239577_24.jpeg?sw=300&bgcolor=FFFFFF
39,家樂福,可麗舒除臭抽取衛生紙-100PC,可麗舒,抽取,$119,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwb44a45bf/images/large/0004119.jpeg?sw=300&bgcolor=FFFFFF
40,家樂福,可麗舒除臭抽取衛生紙-100PC,可麗舒,抽取,$672,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw6f3b60f4/images/large/0060217.jpeg?sw=300&bgcolor=FFFFFF
41,家樂福,舒潔女性專用濕式衛生紙,舒潔,濕式,$98,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwb45a4f88/images/large/0178850.jpeg?sw=300&bgcolor=FFFFFF
42,家樂福,家樂福濕式衛生紙外出包-20PC,家樂福,濕式,$75,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwbc997658/images/large/0229146.jpeg?sw=300&bgcolor=FFFFFF
43,家樂福,倍潔雅特級抽取式衛生紙-110抽,倍潔雅,抽取,$125,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw9339b35b/images/large/0271593.jpeg?sw=300&bgcolor=FFFFFF
44,家樂福,舒適抽取式衛生紙(輕巧包)120PCx20包,舒適,抽取,$205,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwe231cd7f/images/large/0236515.jpeg?sw=300&bgcolor=FFFFFF
45,家樂福,五月花新纖柔抽取衛生紙,五月花,抽取,$139,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw2fa15214/images/large/1220113300112.jpg?sw=300&bgcolor=FFFFFF
46,家樂福,春風抽取衛生紙-110PC,春風,抽取,$120,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwc753bc12/images/large/0218402.jpeg?sw=300&bgcolor=FFFFFF
47,家樂福,春風抽取衛生紙-110PC,春風,抽取,$840,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw6da88611/images/large/0218403.jpeg?sw=300&bgcolor=FFFFFF
48,家樂福,春風柔膚感抽取式衛生紙-110PC,春風,抽取,$298,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw98cf0f2e/images/large/0007291.jpeg?sw=300&bgcolor=FFFFFF
49,家樂福,春風柔膚感抽取式衛生紙-110PC,春風,抽取,$894,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw2926f8b9/images/large/0060221.jpeg?sw=300&bgcolor=FFFFFF
50,家樂福,家樂福抽取式衛生紙-FSC-110PCx24包,家樂福,抽取,$807,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwd61ab754/images/large/0234244_-fsc-110x24.jpeg?sw=300&bgcolor=FFFFFF
